"jid" "aid" "pid" "var.1" "var.2"
1 1 1 NA NA
1 1 2 NA NA
1 1 3 NA NA
1 1 4 NA NA
1 1 5 NA NA
1 1 6 NA NA
1 2 1 NA NA
1 2 2 NA NA
1 2 3 10 400
1 2 4 9 1000
1 2 5 6 100
1 2 6 3 400
1 3 1 NA NA
1 3 2 10 400
1 3 3 NA NA
1 3 4 10 300
1 3 5 6 200
1 3 6 5 200
1 4 1 NA NA
1 4 2 8 1000
1 4 3 9 400
1 4 4 NA NA
1 4 5 7 200
1 4 6 1 650
1 5 1 NA NA
1 5 2 9 200
1 5 3 7 100
1 5 4 7 200
1 5 5 NA NA
1 5 6 8 100
1 6 1 NA NA
1 6 2 7 1
1 6 3 5 1
1 6 4 2 0
1 6 5 8 0
1 6 6 NA NA
2 1 1 NA NA
2 1 2 NA NA
2 1 3 10 100
2 1 4 10 700
2 1 5 7 20
2 1 6 2 200
2 2 1 NA NA
2 2 2 NA NA
2 2 3 NA NA
2 2 4 NA NA
2 2 5 NA NA
2 2 6 NA NA
2 3 1 10 100
2 3 2 NA NA
2 3 3 NA NA
2 3 4 8 50
2 3 5 6 10
2 3 6 3 10
2 4 1 10 700
2 4 2 NA NA
2 4 3 8 50
2 4 4 NA NA
2 4 5 7 15
2 4 6 2 200
2 5 1 6 10
2 5 2 NA NA
2 5 3 5 10
2 5 4 5 10
2 5 5 NA NA
2 5 6 6 5
2 6 1 3 2
2 6 2 NA NA
2 6 3 3 2
2 6 4 4 2
2 6 5 6 2
2 6 6 NA NA
3 1 1 NA NA
3 1 2 9 24
3 1 3 NA NA
3 1 4 10 24
3 1 5 8 6
3 1 6 3 6
3 2 1 9 24
3 2 2 NA NA
3 2 3 NA NA
3 2 4 9 24
3 2 5 8 6
3 2 6 4 6
3 3 1 NA NA
3 3 2 NA NA
3 3 3 NA NA
3 3 4 NA NA
3 3 5 NA NA
3 3 6 NA NA
3 4 1 10 12
3 4 2 9 12
3 4 3 NA NA
3 4 4 NA NA
3 4 5 7 3
3 4 6 2 3
3 5 1 8 0
3 5 2 7 0
3 5 3 NA NA
3 5 4 7 0
3 5 5 NA NA
3 5 6 6 0
3 6 1 6 0
3 6 2 6 0
3 6 3 NA NA
3 6 4 3 0
3 6 5 6 0
3 6 6 NA NA
4 1 1 NA NA
4 1 2 10 1000
4 1 3 10 750
4 1 4 NA NA
4 1 5 9 50
4 1 6 5 250
4 2 1 10 1000
4 2 2 NA NA
4 2 3 10 100
4 2 4 NA NA
4 2 5 10 100
4 2 6 7 250
4 3 1 10 30
4 3 2 10 50
4 3 3 NA NA
4 3 4 NA NA
4 3 5 9 10
4 3 6 6 10
4 4 1 NA NA
4 4 2 NA NA
4 4 3 NA NA
4 4 4 NA NA
4 4 5 NA NA
4 4 6 NA NA
4 5 1 9 30
4 5 2 10 100
4 5 3 9 20
4 5 4 NA NA
4 5 5 NA NA
4 5 6 8 20
4 6 1 6 5
4 6 2 8 10
4 6 3 6 2
4 6 4 NA NA
4 6 5 9 10
4 6 6 NA NA
5 1 1 NA NA
5 1 2 10 0
5 1 3 9 0
5 1 4 10 0
5 1 5 NA NA
5 1 6 6 1
5 2 1 10 0
5 2 2 NA NA
5 2 3 8 0
5 2 4 10 1
5 2 5 NA NA
5 2 6 5 0
5 3 1 9 0
5 3 2 8 0
5 3 3 NA NA
5 3 4 8 0
5 3 5 NA NA
5 3 6 5 0
5 4 1 10 0
5 4 2 10 1
5 4 3 8 0
5 4 4 NA NA
5 4 5 NA NA
5 4 6 4 0
5 5 1 NA NA
5 5 2 NA NA
5 5 3 NA NA
5 5 4 NA NA
5 5 5 NA NA
5 5 6 NA NA
5 6 1 6 2
5 6 2 7 0
5 6 3 5 1
5 6 4 5 0
5 6 5 NA NA
5 6 6 NA NA
6 1 1 NA NA
6 1 2 10 0
6 1 3 9 0
6 1 4 10 0
6 1 5 8 0
6 1 6 NA NA
6 2 1 10 0
6 2 2 NA NA
6 2 3 6 0
6 2 4 10 0
6 2 5 8 0
6 2 6 NA NA
6 3 1 8 0
6 3 2 7 0
6 3 3 NA NA
6 3 4 8 0
6 3 5 7 0
6 3 6 NA NA
6 4 1 10 0
6 4 2 10 10
6 4 3 8 0
6 4 4 NA NA
6 4 5 7 0
6 4 6 NA NA
6 5 1 8 5
6 5 2 8 10
6 5 3 7 0
6 5 4 7 5
6 5 5 NA NA
6 5 6 NA NA
6 6 1 NA NA
6 6 2 NA NA
6 6 3 NA NA
6 6 4 NA NA
6 6 5 NA NA
6 6 6 NA NA
